Year,Location,Population,Total Suicides (18 to 24),Total Suicides (25 to 34),Total Suicides (35 to 44),Total Suicides (45 to 54),Total Suicides (55+),Suicides per 100k (18 to 24),Suicides per 100k (25 to 34),Suicides per 100k (35 to 44),Suicides per 100k (45 to 54),Suicides per 100k (55+)
2010,GA,9711881.0,121.0,161.0,199.0,282.0,370.0,1.2458966496809425,1.6577633107324934,2.0490366387314674,2.903659960413436,3.8097666147268483
2010,HI,1363963.0,27.0,38.0,44.0,44.0,54.0,1.9795258375777054,2.785999326961215,3.2258939575340384,3.2258939575340384,3.959051675155411
2010,ID,1570746.0,27.0,43.0,53.0,60.0,107.0,1.71892845819757,2.7375527297220557,3.3741928994248593,3.8198410182168216,6.812049815819998
2010,IL,12840503.0,109.0,179.0,209.0,318.0,363.0,0.8488764030505659,1.394026386661021,1.6276620939226447,2.4765384969732107,2.826992057865646
2010,IN,6490432.0,85.0,134.0,140.0,241.0,264.0,1.3096200684330412,2.0645775196473823,2.1570212891838327,3.71315807638074,4.067525859603798
2010,IA,3050745.0,36.0,54.0,63.0,108.0,111.0,1.1800396296642295,1.7700594444963444,2.0650693519124017,3.540118888992689,3.638455524798041
2010,KS,2858190.0,46.0,79.0,57.0,119.0,100.0,1.6094101511795926,2.7639869987649526,1.9942691003747128,4.163474086747207,3.498717719955636
2010,KY,4348181.0,47.0,99.0,121.0,171.0,193.0,1.080911765172609,2.276814143661453,2.782772842252887,3.932678975415237,4.438637674006671
2010,LA,4544532.0,57.0,102.0,99.0,131.0,168.0,1.2542545635062092,2.2444555346953217,2.178442136616048,2.8825850494616385,3.696750292439354
2010,ME,1327629.0,19.0,22.0,28.0,60.0,57.0,1.431122700694245,1.6570894429091259,2.1090229273388874,4.5193348442976164,4.293368102082735
2010,MD,5788645.0,53.0,76.0,72.0,143.0,158.0,0.9155855990477909,1.3129151986345682,1.243814398706433,2.470353597430832,2.729481597161339
2010,MA,6566307.0,67.0,96.0,118.0,147.0,170.0,1.0203604552756975,1.4620090105442831,1.7970527421273481,2.2387012973959335,2.5889742895055017
2010,MI,9877510.0,135.0,171.0,237.0,340.0,380.0,1.3667412131195007,1.7312055366180343,2.399390129698679,3.442163055263928,3.847123414706743
2010,MN,5310828.0,70.0,104.0,103.0,172.0,157.0,1.3180618916673634,1.958263381905797,1.9394339263105491,3.2386663623826646,2.9562245284539435
2010,MS,2970548.0,33.0,63.0,65.0,100.0,127.0,1.1109061358375627,2.1208208047808013,2.1881484493770174,3.3663822298107964,4.275305431859711
2010,MO,5995974.0,85.0,141.0,148.0,216.0,266.0,1.4176178882696955,2.351577908776789,2.468322911340176,3.6024172219559327,4.436310097408694
